Sexo;Comunidades y Ciudades Autónomas;Nacionalidad;Periodo;Total
Ambos sexos;Total Nacional;Total;2021;14.78
Ambos sexos;Total Nacional;Total;2020;15.53
Ambos sexos;Total Nacional;Total;2019;14.1
Ambos sexos;Total Nacional;Total;2018;15.25
Ambos sexos;Total Nacional;Total;2017;17.22
Ambos sexos;Total Nacional;Total;2016;19.63
Ambos sexos;Total Nacional;Total;2015;22.06
Ambos sexos;Total Nacional;Total;2014;24.44
Ambos sexos;Total Nacional;Total;2013;26.09
Ambos sexos;Total Nacional;Total;2012;24.79
Ambos sexos;Total Nacional;Total;2011;21.39
Ambos sexos;Total Nacional;Total;2010;19.86
Ambos sexos;Total Nacional;Total;2009;17.86
Ambos sexos;Total Nacional;Total;2008;11.25
Ambos sexos;Total Nacional;Total;2007;8.23
Ambos sexos;Total Nacional;Total;2006;8.45
Ambos sexos;Total Nacional;Española;2021;13.49
Ambos sexos;Total Nacional;Española;2020;14.11
Ambos sexos;Total Nacional;Española;2019;13.2
Ambos sexos;Total Nacional;Española;2018;14.32
Ambos sexos;Total Nacional;Española;2017;16.32
Ambos sexos;Total Nacional;Española;2016;18.69
Ambos sexos;Total Nacional;Española;2015;20.91
Ambos sexos;Total Nacional;Española;2014;23.03
Ambos sexos;Total Nacional;Española;2013;24.43
Ambos sexos;Total Nacional;Española;2012;22.97
Ambos sexos;Total Nacional;Española;2011;19.48
Ambos sexos;Total Nacional;Española;2010;18.08
Ambos sexos;Total Nacional;Española;2009;15.99
Ambos sexos;Total Nacional;Española;2008;10.17
Ambos sexos;Total Nacional;Española;2007;7.6
Ambos sexos;Total Nacional;Española;2006;7.98
Ambos sexos;Total Nacional;Extranjera: Total;2021;23.14
Ambos sexos;Total Nacional;Extranjera: Total;2020;24.61
Ambos sexos;Total Nacional;Extranjera: Total;2019;20.11
Ambos sexos;Total Nacional;Extranjera: Total;2018;21.89
Ambos sexos;Total Nacional;Extranjera: Total;2017;23.84
Ambos sexos;Total Nacional;Extranjera: Total;2016;26.64
Ambos sexos;Total Nacional;Extranjera: Total;2015;30.46
Ambos sexos;Total Nacional;Extranjera: Total;2014;34.5
Ambos sexos;Total Nacional;Extranjera: Total;2013;37.02
Ambos sexos;Total Nacional;Extranjera: Total;2012;35.94
Ambos sexos;Total Nacional;Extranjera: Total;2011;32.6
